treeId,startLocation,endLocation,time
TREE1,Kenya,Asia-Pacific,2023.2893133881487
TREE1,Kenya,Asia-Pacific,2023.3064836882643
TREE1,Kenya,Europe,2023.2783386864662
TREE1,Kenya,Europe,2023.1733724014427
TREE1,Kenya,Europe,2023.3310316735058
TREE1,Kenya,North America,2023.395797894116
TREE1,Europe,North America,2023.5583790579803
TREE1,North America,Europe,2023.7376020430474
TREE1,Kenya,Europe,2023.4368524352722
TREE1,Kenya,Europe,2023.4371883118752
TREE1,North America,Europe,2023.7575006228437
TREE1,Kenya,Europe,2023.3710755559869
TREE1,North America,Europe,2023.6292453115514
TREE1,Kenya,Europe,2023.300485295671
TREE1,Kenya,Europe,2023.2454601883535
TREE1,North America,Europe,2023.5682351816945
TREE1,Kenya,Asia-Pacific,2023.4702781656829
TREE1,Kenya,Asia-Pacific,2023.2988873710449
TREE1,Kenya,Asia-Pacific,2023.2947571427858
TREE1,North America,Europe,2023.4724105071275
TREE1,North America,Asia-Pacific,2023.5314588163053
TREE1,Kenya,Europe,2023.188652031121
TREE1,North America,Asia-Pacific,2023.7485392107803
TREE1,Kenya,Europe,2023.5091447133539
TREE1,Kenya,Asia-Pacific,2023.3141377348136
TREE1,Kenya,Europe,2023.4320129211617
TREE1,Kenya,Asia-Pacific,2023.416004049165
TREE1,North America,Asia-Pacific,2023.5076068142714
TREE1,North America,Asia-Pacific,2023.5902273526792
TREE1,Kenya,Europe,2023.2351554856064
TREE1,Kenya,Europe,2023.2497947590825
TREE1,Kenya,North America,2023.2513741494497
TREE1,Kenya,North America,2023.2352291703266
TREE1,Kenya,North America,2023.5960524488598
TREE1,Kenya,North America,2023.5166154981164
TREE1,Kenya,North America,2023.4240873220672
TREE1,Kenya,North America,2023.3350882319055
TREE1,Kenya,North America,2023.31688474422
TREE1,Kenya,North America,2023.2778454494633
TREE1,Kenya,North America,2023.2384104656844
TREE1,Europe,North America,2023.7786416150973
TREE1,Kenya,North America,2023.3392970610582
TREE1,Kenya,North America,2023.2672145806087
TREE1,Kenya,North America,2023.4421454127555
TREE1,Europe,North America,2023.611472056593
TREE1,Europe,North America,2023.5509452273038
TREE1,North America,Europe,2023.3125037869138
TREE1,North America,Asia-Pacific,2023.4587475985422
TREE1,North America,Europe,2023.5334201153516
TREE1,Kenya,North America,2023.207484296045
TREE1,Kenya,North America,2023.3394181876033
TREE1,Kenya,Asia-Pacific,2023.2350195760246
TREE1,Kenya,Asia-Pacific,2023.516306509048
TREE1,Kenya,North America,2023.2024965457047
TREE1,Kenya,Europe,2023.2588356777674
TREE1,North America,Europe,2023.5729394015943
TREE1,Kenya,North America,2023.4446804437994
TREE1,North America,Europe,2023.2834465477338
TREE1,Kenya,North America,2023.2265341046054
TREE1,Kenya,North America,2023.2499752239369
TREE1,Kenya,Europe,2023.3215702306709
TREE1,Kenya,North America,2023.1916448068887
TREE1,North America,Europe,2023.3421145988314
TREE1,Kenya,North America,2023.272127231553
TREE1,Kenya,North America,2023.32326135455
TREE1,Kenya,North America,2023.566438626099
TREE1,Kenya,Europe,2023.5950028342897
TREE1,Kenya,Europe,2023.3532228590975
TREE1,North America,Asia-Pacific,2023.7196371094456
TREE1,Kenya,North America,2023.3748378594112
TREE1,Kenya,Europe,2023.438870659708
TREE1,Kenya,North America,2023.4340772713965
TREE1,Kenya,North America,2023.2203566063256
TREE1,Kenya,North America,2023.1580416501947
TREE1,Kenya,North America,2023.1782559758942
TREE1,North America,Asia-Pacific,2023.4373468656477
TREE1,North America,Asia-Pacific,2023.5617722872535
TREE1,Kenya,North America,2023.255083844011
TREE1,Kenya,North America,2023.3203601639066
TREE1,Kenya,Europe,2023.1311758212016
TREE1,Kenya,North America,2023.2568468435932
TREE1,Kenya,North America,2023.224430401601
