# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Sep 26 16:49:42 EAT 2024 [seed=1727358581515]
# ../beast_run/timetree_beast.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Kenyan.Other	location.rates.Other.Kenyan	location.indicators.Kenyan.Other	location.indicators.Other.Kenyan	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-397.4972811070096	-162.84432320760206	-234.6529578994075	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	-234.6529578994075
1000	-231.1012210181611	-46.97615201416994	-184.12506900399117	0.27609032712098475	0.2760903271209843	3.3785905107049827	0.03299545860478438	1.0	1.0	2.0	0.0	-184.12506900399117
2000	-232.43786632380593	-48.71528136876566	-183.72258495504028	0.28158808999855095	0.2815880899985508	4.222113159737669	0.03294461664222769	1.0	1.0	2.0	0.0	-183.72258495504028
3000	-229.19642306269645	-41.57537680290081	-187.62104625979563	0.2557918019375074	0.25579180193750667	1.3059955112180102	0.013493421269248148	1.0	1.0	2.0	0.0	-187.62104625979563
4000	-229.66020014724734	-41.878833153369804	-187.78136699387753	0.2493604387671839	0.24936043876718347	2.66896435765891	0.0029336449832779565	1.0	1.0	2.0	0.0	-187.78136699387753
5000	-230.86053438898628	-44.876680379558955	-185.98385400942732	0.2660839482335869	0.2660839482335865	2.917793702054992	0.025005367930475888	1.0	1.0	2.0	0.0	-185.98385400942732
6000	-229.8100222476608	-44.861020290988876	-184.94900195667194	0.27655423289644976	0.2765542328964487	1.1937765311520963	0.02709384055184863	1.0	1.0	2.0	0.0	-184.94900195667194
7000	-228.91638087506493	-37.76857992372885	-191.14780095133608	0.2365075498515551	0.23650754985155484	0.6480353006712594	0.010925094202084882	1.0	1.0	2.0	0.0	-191.14780095133608
8000	-229.5972820151116	-45.33267753888933	-184.26460447622227	0.2764906114238116	0.2764906114238114	1.6828957770228394	0.019997565507411375	1.0	1.0	2.0	0.0	-184.26460447622227
9000	-229.40415160990779	-41.65165156724164	-187.75250004266613	0.2603067353032098	0.26030673530320914	0.6482532051405476	0.011316521566965361	1.0	1.0	2.0	0.0	-187.75250004266613
10000	-231.15096292236026	-39.240106948342024	-191.91085597401823	0.2409984641832616	0.24099846418326143	1.3459662313074439	0.05154037046872296	1.0	1.0	2.0	0.0	-191.91085597401823
11000	-233.15361758413172	-52.38135061427621	-180.7722669698555	0.30275749739155416	0.3027574973915531	4.424678818594205	0.04939230069929596	1.0	1.0	2.0	0.0	-180.7722669698555
12000	-232.29131660225022	-49.063178498511455	-183.22813810373876	0.2975278121012995	0.29752781210129914	1.979827811681391	0.0273897065940737	1.0	1.0	2.0	0.0	-183.22813810373876
13000	-230.581196000753	-33.03413805781013	-197.54705794294287	0.203242739019077	0.20324273901907655	1.3555193701426218	0.00441122306686663	1.0	1.0	2.0	0.0	-197.54705794294287
14000	-228.82258427960528	-35.89294826468688	-192.9296360149184	0.22785490212837128	0.227854902128371	0.19531829815013135	7.595968646896457E-4	1.0	1.0	2.0	0.0	-192.9296360149184
15000	-228.6762318696097	-48.389215161434166	-180.2870167081755	0.30359703328313425	0.3035970332831339	0.34424109002273684	0.0010440861252662443	1.0	1.0	2.0	0.0	-180.2870167081755
16000	-232.08057437588792	-40.70463478859661	-191.37593958729133	0.240847431007812	0.2408474310078117	2.8148988828014674	0.07178345421826501	1.0	1.0	2.0	0.0	-191.37593958729133
17000	-231.1856403650169	-47.91202112217862	-183.27361924283827	0.2839166807173926	0.2839166807173923	3.0415593068211964	0.030938209102191694	1.0	1.0	2.0	0.0	-183.27361924283827
18000	-229.9105818438155	-43.55234098740333	-186.35824085641215	0.2582558765549444	0.258255876554944	2.8927221189299193	0.0019260664129332145	1.0	1.0	2.0	0.0	-186.35824085641215
19000	-232.25618973078437	-46.435863395528145	-185.82032633525623	0.26764725856126925	0.267647258561268	4.17798297202853	0.0691897028648447	1.0	1.0	2.0	0.0	-185.82032633525623
20000	-232.8506944653027	-37.152038608651075	-195.6986558566516	0.21533002814260907	0.21533002814260896	3.447121763472564	0.05432132047293964	1.0	1.0	2.0	0.0	-195.6986558566516
21000	-229.2369242906774	-33.47392957186321	-195.76299471881418	0.2112483585760802	0.21124835857608032	0.49046702079497556	7.384416878586675E-5	1.0	1.0	2.0	0.0	-195.76299471881418
22000	-229.1793453317784	-41.34168280002143	-187.83766253175696	0.2585304713567827	0.25853047135678264	0.6386788769262964	5.37087241860138E-4	1.0	1.0	2.0	0.0	-187.83766253175696
23000	-231.09848265537343	-47.44973628292569	-183.64874637244773	0.28913687681364053	0.28913687681363964	1.7192143595216032	0.04081122972106213	1.0	1.0	2.0	0.0	-183.64874637244773
24000	-230.5351163574645	-41.3360700122912	-189.1990463451733	0.24953084799372224	0.2495308479937218	2.0567056954486644	0.04463127517086278	1.0	1.0	2.0	0.0	-189.1990463451733
25000	-229.34980491392596	-46.93993977145801	-182.40986514246796	0.28741883816977937	0.28741883816977903	1.5252876005465683	0.004731506622578205	1.0	1.0	2.0	0.0	-182.40986514246796
26000	-230.31373773246898	-37.735344279200056	-192.57839345326892	0.2308415088365272	0.2308415088365263	1.5433238043045896	0.007437207585367787	1.0	1.0	2.0	0.0	-192.57839345326892
27000	-233.7392594269671	-44.694691304372924	-189.04456812259417	0.2502915863922706	0.2502915863922708	5.211669963804793	0.12419619678191442	1.0	1.0	2.0	0.0	-189.04456812259417
28000	-230.034482916711	-49.72790178917714	-180.30658112753386	0.30067683017950353	0.30067683017950353	2.158496750057943	8.104631596698899E-4	1.0	1.0	2.0	0.0	-180.30658112753386
29000	-229.00812000814216	-41.434435415429554	-187.5736845927126	0.26031888814144055	0.26031888814144055	0.42888247679231073	0.01148969144100143	1.0	1.0	2.0	0.0	-187.5736845927126
30000	-230.16604930370252	-46.99404447068821	-183.1720048330143	0.2834558700919952	0.28345587009199524	2.2077593571337437	0.021819446155059846	1.0	1.0	2.0	0.0	-183.1720048330143
31000	-229.708750963248	-43.40226106703344	-186.30648989621457	0.269509308213764	0.26950930821376334	0.8944355320537314	0.01565508043669495	1.0	1.0	2.0	0.0	-186.30648989621457
32000	-231.38903230252893	-31.10552148263132	-200.2835108198976	0.1959287581520572	0.1959287581520571	0.6239246899127499	0.0041420420784497635	1.0	1.0	2.0	0.0	-200.2835108198976
33000	-230.97963870782183	-38.821746953310004	-192.15789175451184	0.23125862196989583	0.23125862196989622	2.52596554386982	0.043090274973376225	1.0	1.0	2.0	0.0	-192.15789175451184
34000	-228.96123208409668	-44.25001604562175	-184.71121603847493	0.27428604351786745	0.2742860435178667	0.9697910588661351	0.009643193367296054	1.0	1.0	2.0	0.0	-184.71121603847493
35000	-230.4322128833425	-40.03939307290228	-190.39281981044022	0.2401785745758837	0.2401785745758836	2.2975656918187384	0.03303148082836013	1.0	1.0	2.0	0.0	-190.39281981044022
36000	-230.04697080201578	-44.232459701559016	-185.81451110045677	0.2732568767664459	0.2732568767664459	1.0990048415097493	0.030571907240355262	1.0	1.0	2.0	0.0	-185.81451110045677
37000	-229.46272293463105	-37.17777163985306	-192.28495129477798	0.23355249723175636	0.23355249723175586	0.5440202604044729	0.006536215823836806	1.0	1.0	2.0	0.0	-192.28495129477798
38000	-230.50050118789358	-42.438251059285555	-188.062250128608	0.2626720774592698	0.262672077459269	1.0239617517880042	0.03658095293543689	1.0	1.0	2.0	0.0	-188.062250128608
39000	-227.47288909659198	-43.43414031876732	-184.03874877782465	0.2733109991016496	0.2733109991016492	0.3213511864557795	0.0010869728878836085	1.0	1.0	2.0	0.0	-184.03874877782465
40000	-229.72015390043313	-40.38335622391017	-189.33679767652296	0.2508446502654207	0.25084465026542024	0.918000395371502	0.016317476619978274	1.0	1.0	2.0	0.0	-189.33679767652296
41000	-230.2488063185491	-47.89918162709173	-182.34962469145736	0.2995721042879537	0.2995721042879542	0.5083534823569659	0.002067326180880768	1.0	1.0	2.0	0.0	-182.34962469145736
42000	-229.48721737592163	-47.32752950018292	-182.1596878757387	0.2923605510138429	0.2923605510138424	1.112657554411076	2.1943117672393312E-4	1.0	1.0	2.0	0.0	-182.1596878757387
43000	-230.48997130656915	-46.507833069691735	-183.9821382368774	0.29140105425830287	0.29140105425830287	0.4337680758409705	0.015650132920420095	1.0	1.0	2.0	0.0	-183.9821382368774
44000	-230.07786161601481	-43.26906262664054	-186.80879898937428	0.26589847465776295	0.2658984746577622	1.3384221270546532	0.026991317376182173	1.0	1.0	2.0	0.0	-186.80879898937428
