# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 19 12:45:00 EAT 2025 [seed=1739958299565]
# ../beast_run/FY.4_may.xml
state	location.rates.Kenya.Others	location.rates.Others.Kenya	location.indicators.Kenya.Others	location.indicators.Others.Kenya	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	2.057491820583276	0.028881152648669035	1.0	1.0	2.0
2000	1.5850842660001843	0.01601162832804606	1.0	1.0	2.0
3000	5.603201471365424	0.04363398839118716	1.0	1.0	2.0
4000	1.72932738119969	0.016632569477801267	1.0	1.0	2.0
5000	0.9211125305062734	0.054364627718038336	1.0	1.0	2.0
6000	2.113204434819478	0.03929847130892575	1.0	1.0	2.0
7000	4.7931871944315105	0.02608345898108652	1.0	1.0	2.0
8000	2.4706132635553657	0.028435947651203053	1.0	1.0	2.0
9000	1.592286765244283	0.053642833519719324	1.0	1.0	2.0
10000	5.1874925252410575	0.05607721215952762	1.0	1.0	2.0
11000	1.9282872608969244	0.009978561108755661	1.0	1.0	2.0
12000	1.5282297182516862	0.010340605928399646	1.0	1.0	2.0
13000	4.791204393462375	0.0060275065252276125	1.0	1.0	2.0
14000	2.282493312149878	0.02684849967134562	1.0	1.0	2.0
15000	0.22371825941948847	7.90483671126272E-4	1.0	1.0	2.0
16000	2.921529053318319	0.05261132270546084	1.0	1.0	2.0
17000	0.6971900512951918	0.0024737060568377147	1.0	1.0	2.0
18000	1.3400376020352687	0.010493352788348335	1.0	1.0	2.0
19000	1.088068391127464	0.008925336585252932	1.0	1.0	2.0
20000	1.6054014342853407	0.0026513332536367757	1.0	1.0	2.0
21000	5.353799775288391	0.020326843763068092	1.0	1.0	2.0
22000	3.1960515931008864	0.0526083831749575	1.0	1.0	2.0
23000	4.8705180669399235	0.014784596220434527	1.0	1.0	2.0
24000	1.2881769757317323	0.06947249320898027	1.0	1.0	2.0
25000	2.0818942851537754	0.008440633091742972	1.0	1.0	2.0
26000	1.6294578949758223	5.972611466753592E-4	1.0	1.0	2.0
27000	2.40017404199049	0.020611504063188738	1.0	1.0	2.0
28000	2.628995172591364	0.0019653229125920443	1.0	1.0	2.0
29000	2.8492763173466487	0.09127475967610663	1.0	1.0	2.0
30000	1.632358833676723	0.00896778214120883	1.0	1.0	2.0
31000	2.5708106885187783	0.048197484292537236	1.0	1.0	2.0
32000	3.2672997125502574	0.0033315956457755417	1.0	1.0	2.0
33000	1.6758332745754043	0.024873458711430357	1.0	1.0	2.0
34000	5.234982677360134	0.01675884466042784	1.0	1.0	2.0
35000	0.5854895157346933	0.004607245750768097	1.0	1.0	2.0
36000	1.8998563783430058	0.02131807924402088	1.0	1.0	2.0
37000	3.757286488814245	0.03891718867826586	1.0	1.0	2.0
38000	1.2048209335638302	0.020213601220227417	1.0	1.0	2.0
39000	2.8779218143807115	0.01428700239909327	1.0	1.0	2.0
40000	0.6208397628673059	0.014593203058942203	1.0	1.0	2.0
41000	1.4225146914043463	0.013919280606766733	1.0	1.0	2.0
42000	2.045921350520642	0.008655238157908978	1.0	1.0	2.0
43000	1.0793657554752398	0.015529821787182948	1.0	1.0	2.0
44000	0.2355145931359902	9.862956485614531E-4	1.0	1.0	2.0
45000	2.148361868517591	0.012860099284560332	1.0	1.0	2.0
46000	1.0874316114622733	0.00739472656413791	1.0	1.0	2.0
47000	2.347221538281749	2.9103401568393225E-4	1.0	1.0	2.0
48000	0.3666600029097417	1.4727389001364415E-4	1.0	1.0	2.0
49000	0.9995720521661431	0.03246875480123931	1.0	1.0	2.0
50000	1.9950322490302084	0.034169706442876924	1.0	1.0	2.0
51000	2.039968057231586	0.0010965798279302715	1.0	1.0	2.0
52000	0.8332080708732682	0.0038408824754832043	1.0	1.0	2.0
53000	3.0989772994061546	0.04843044364787038	1.0	1.0	2.0
54000	0.9274133091032687	0.012130818405530557	1.0	1.0	2.0
55000	3.216172320049656	0.03188584052380636	1.0	1.0	2.0
56000	3.3828030630411523	0.057431445771605354	1.0	1.0	2.0
57000	2.388544881261259	0.002442158283956576	1.0	1.0	2.0
58000	0.6231511715116929	0.009182289144888374	1.0	1.0	2.0
59000	1.109967549157776	0.00591153494579383	1.0	1.0	2.0
60000	1.2302600181639354	0.01824293693277529	1.0	1.0	2.0
61000	1.8101221385461403	0.04566826201590405	1.0	1.0	2.0
62000	2.097840515210501	0.04257292619345215	1.0	1.0	2.0
63000	5.211161716258895	0.0190073416583489	1.0	1.0	2.0
64000	1.3248935713204968	0.019255605091610596	1.0	1.0	2.0
65000	0.4868837627436162	0.0044892935799609795	1.0	1.0	2.0
66000	0.9599110345071253	0.023089198845297476	1.0	1.0	2.0
67000	2.2581125958514607	0.00890315897953471	1.0	1.0	2.0
68000	1.6322751970201095	0.014968318399915487	1.0	1.0	2.0
69000	0.7095171327776121	6.172768983473422E-4	1.0	1.0	2.0
70000	2.7118121218399645	0.031240197968932973	1.0	1.0	2.0
71000	0.30484592672184996	0.0017785527123420027	1.0	1.0	2.0
72000	1.0375551879640694	0.005239706969844522	1.0	1.0	2.0
73000	5.422120324843159	0.17282732441593457	1.0	1.0	2.0
74000	1.4717542695647121	0.002284941091278122	1.0	1.0	2.0
75000	0.7566891530286901	0.008715518783005598	1.0	1.0	2.0
76000	5.095031247401844	0.04198256052300968	1.0	1.0	2.0
77000	1.7848803373036157	4.9921731280041085E-5	1.0	1.0	2.0
78000	2.2745469926788418	0.05353017228213256	1.0	1.0	2.0
79000	1.6521394039497184	0.016287653655683753	1.0	1.0	2.0
80000	1.5408158983264781	0.01099990563379048	1.0	1.0	2.0
81000	1.9363217935095804	0.02692912981013723	1.0	1.0	2.0
82000	2.259348137631502	0.06183664329515038	1.0	1.0	2.0
83000	1.9200186594229836	0.019856109052124295	1.0	1.0	2.0
84000	0.8699413198314675	0.018388427667451846	1.0	1.0	2.0
85000	0.4516434736998348	0.0034222020909290274	1.0	1.0	2.0
86000	0.3841104920105667	6.438152978117814E-4	1.0	1.0	2.0
87000	0.49336559356949244	6.540330680719873E-4	1.0	1.0	2.0
88000	1.432068731279161	0.009269249188337027	1.0	1.0	2.0
89000	0.5023748140317247	0.005898164246301716	1.0	1.0	2.0
90000	2.2007725538607867	0.02139200506755624	1.0	1.0	2.0
91000	3.1924581043526845	0.008167357049577923	1.0	1.0	2.0
92000	2.6243127557977513	0.0033645413900687928	1.0	1.0	2.0
93000	1.1966314784639323	0.015984770846680242	1.0	1.0	2.0
94000	1.8148175391173487	0.01334091704587007	1.0	1.0	2.0
95000	0.5952003694090936	0.012720883318320745	1.0	1.0	2.0
96000	0.1892071371968295	0.002573365103414846	1.0	1.0	2.0
97000	1.8890561690988112	0.07065854995429068	1.0	1.0	2.0
98000	0.39815550018573537	0.008390924576728059	1.0	1.0	2.0
99000	1.7562803248932781	0.005861276309407137	1.0	1.0	2.0
100000	0.4101636435325685	0.003206337388637002	1.0	1.0	2.0
101000	0.49018242781122834	0.002682104173410336	1.0	1.0	2.0
102000	6.283605258639028	0.028808053616364744	1.0	1.0	2.0
103000	2.0218628470094004	0.00528393658408765	1.0	1.0	2.0
104000	1.0195073671128434	0.009630407479110677	1.0	1.0	2.0
105000	0.7104418188802882	0.011011854193085294	1.0	1.0	2.0
106000	3.5718451387695387	0.1276463941996776	1.0	1.0	2.0
107000	0.9280568508650889	0.0024013175931024925	1.0	1.0	2.0
