# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Sep 28 07:45:54 EAT 2024 [seed=876754398712]
# -seed 876754398712 ../../beast_run/kenya_continous.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate	coordinates.traitLikelihood
0	-38585.04433853754	-581.3492899421997	-38003.69504859534	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	631.7576387809587	-38003.69504859534
50000	-1211.7855514051216	-689.4085730128445	-522.3769783922771	0.01777719615429483	0.012668227234759123	0.012668227234759123	0.012412651387361872	-0.8528093112906515	206.26506289609785	-210.51204982846195	-210.51204982846193	295.4094470594182	685.0956539512512	-522.3769783922771
100000	-1062.976013523853	-587.6988133653838	-475.27720015846916	0.03872954687849805	0.030190368528488574	0.030190368528488574	0.02753731089602051	-0.9244564194593935	177.60367096872224	-194.71473808043532	-194.71473808043535	249.7887221649701	701.8657847391912	-475.27720015846916
150000	-957.6302204520658	-510.9261611445643	-446.70405930750155	0.06431431128093963	0.05014138681719053	0.05014138681719053	0.04440726457996935	-0.9382434016687158	129.89747114937884	-146.67058214645712	-146.67058214645712	188.12837208343518	695.414010344648	-446.70405930750155
200000	-891.5792711312399	-448.2718098989036	-443.3074612323364	0.11135701914698369	0.0827271210583815	0.0827271210583815	0.06951195851680955	-0.9402846576401683	77.50523310895706	-92.24002515354614	-92.24002515354613	124.16211413779193	649.9530714332166	-443.3074612323364
250000	-860.6087781390894	-434.2590329057477	-426.3497452333417	0.11833897632121444	0.0887031397894402	0.0887031397894402	0.07668406381048803	-0.9311561770920799	63.5608674298553	-73.52307935455838	-73.52307935455838	98.087237582064	638.2761503911154	-426.3497452333417
300000	-820.1634186300083	-411.7818409188424	-408.3815777111659	0.12812836288900178	0.09604768202472942	0.09604768202472942	0.08419864393152895	-0.9247230883604807	53.86723374629231	-61.447817884371794	-61.44781788437181	81.97187212283757	652.4807060721494	-408.3815777111659
350000	-766.0248218507826	-386.10934533678363	-379.91547651399895	0.13770328669209678	0.0963047214383152	0.0963047214383152	0.08757765109477185	-0.8769579709768288	31.44471491717199	-34.578165467448386	-34.578165467448386	49.44230107867187	628.0820341596792	-379.91547651399895
400000	-761.8192543457254	-381.2059650653588	-380.61328928036664	0.15382684584435521	0.11028693142389712	0.11028693142389712	0.1020318177529897	-0.8803191994258956	28.88762240583605	-31.22484046089163	-31.224840460891635	43.55202069799718	612.1828517832311	-380.61328928036664
450000	-730.0352764002457	-369.69899803188235	-360.33627836836337	0.1815323706678752	0.13753419581483156	0.13753419581483156	0.1301774283619474	-0.8946760442097619	27.60474849183462	-29.16478634021745	-29.164786340217454	38.494810494182566	601.4943788787085	-360.33627836836337
500000	-738.6867604347663	-355.9633335941108	-382.72342684065546	0.1724015408570162	0.1357846219243862	0.1357846219243862	0.1294707025747708	-0.9088542941279498	33.33879242183633	-34.96463087315298	-34.96463087315298	44.39351196474322	620.5644389240756	-382.72342684065546
550000	-735.777794942592	-369.99601291163947	-365.78178203095257	0.15121717983428035	0.1085917246737865	0.1085917246737865	0.10292172080658375	-0.8704476240141436	27.290276236738322	-28.793709822833584	-28.793709822833588	40.09609028179078	631.8685508384241	-365.78178203095257
600000	-715.5781026144676	-380.39711874847944	-335.1809838659882	0.2450632287594444	0.16766158373426168	0.16766158373426168	0.1475985169396059	-0.8815632793087717	18.311193251454494	-20.800233798143086	-20.800233798143083	30.4027454589922	592.6238769508743	-335.1809838659882
